"DMU","Ano","Locos","Vagoes","NTF","TKU","CCL"
"FTC",2008,11,380,13285,213322902,1554184.36673124
"FTC",2009,11,357.916666,12491,202495187,1460723.11077611
"FTC",2010,11,369,11255,184998760,1263882.78124285
"FTC",2011,11,369,10071,172723078,1187587.00942492
"FTC",2012,11,357.25,11272,190350774,1298088.43832597
"FTC",2013,11.25,372.5,12343,238819533,1607587.22299875
"FTC",2014,12.916666,399.166666,14168,288133390,2048028.2716794
"FTC",2015,14.916666,426.083333,12015,273119651,1950306.01227108
"FTC",2016,16.833333,442.166666,10464,223759793,1655378.32999057
"FTC",2017,17,448,10003,205685972,1432101.39261239
"FTC",2018,19,454.5,10859,220143026,1625563.34703125
"FTC",2019,17.666666,469.333333,11903,233472333,1669164.74630343
"FTC",2020,13.333333,279,12646,235555712,1711803.73604526
"FTC",2021,13,281.5,10028,255547894,1854914.01800512
"FTC",2022,13,288.583333,8064,267775882,1909160.20864758
"FTC",2023,12.416666,295,7126,245627737,1709050.62629399
"FTC",2024,12.916666,295,6714,242485818,1742490.47949919
"FTC",2025,14,295,6368,240242512,1719324.04649577
"FTL",2006,122.666666,2213.583333,10748,677820653,10300040.6675813
"FTL",2007,129.583333,2210.25,11197,962651663,13773527.6876143
"FTL",2008,131.5,2294.5,11508,919954734,13141592.406839
"FTL",2009,125.916666,2237.333333,9520,730063046,10657508.9091015
"FTL",2010,132.333333,2246.333333,8990,728307715,10803361.6796422
"FTL",2011,120,1952.916666,4459,680889611,9675388.55341969
"FTL",2012,106.916666,1807.666666,1639,702564975,9545944.25162508
"FTL",2013,108.333333,1841.083333,1422,534525732,8213865.81984619
"FTL",2014,90.833333,1841.916666,1484,605606720,9531897.25636829
"FTL",2015,92.916666,1748.833333,1431,566791911,8952091.38109527
"FTL",2016,100.416666,1813.75,1957,656080681,9676331.29360744
"FTL",2017,106,1847.416666,2129,649435462,9708434.23297763
"FTL",2018,104.583333,1906,2005,614527647,9273143.38630011
"FTL",2019,101.916666,1868.75,2064,574724116,8695961.74993931
"FTL",2020,104.916666,1880.25,2265,632279121,9484105.76398196
"FTL",2021,108.416666,1892.916666,2339,689158155,16979419.3062238
"FTL",2022,117.166666,1863.666666,2172,607494224,9700384.34939598
"FTL",2023,113,2023.666666,2319,616106343,9689602.53874495
"FTL",2024,116.833333,1857.833333,2324,600926334,9902376.58186226
"FTL",2025,120.583333,1857.25,2138,568451517,9644817.76548193
"MRS",2006,471.25,14355,117884,47676469201,262136105.907474
"MRS",2007,522.75,14925,128527,52614782301,281386930.971342
"MRS",2008,595.666666,16637.5,132341,55821880167,288842835.541477
"MRS",2009,675.583333,17680.583333,120799,51444108646,240451060.193824
"MRS",2010,684.666666,17968.666666,118684,57572346308,259289268.480354
"MRS",2011,718.25,18947.666666,104023,61360642317,286106474.099087
"MRS",2012,801.333333,19691,85925,62241499163,280946704.272281
"MRS",2013,788.833333,19364.25,84166,61427409311,269627568.464623
"MRS",2014,781.416666,19478.416666,80276,64433533846,266046157.520948
"MRS",2015,767.25,20535.5,78687,64754142045,251278553.762265
"MRS",2016,768.083333,19948.916666,69083,65645671278,227959470.070615
"MRS",2017,750.916666,18779.416666,73311,63909017271,219537439.74588
"MRS",2018,723.333333,18381.333333,73639,63764601243,186497706.280459
"MRS",2019,744.666666,20979.083333,70470,48109436468,171073223.616285
"MRS",2020,740.5,20802.75,69810,52613706504,188979412.852751
"MRS",2021,757.666666,21215.416666,75349,56961004683,169584514.640315
"MRS",2022,793.75,22209.75,73823,58283425929,169347864.753127
"MRS",2023,816,22414.083333,76116,66808265193,247231426.231937
"MRS",2024,806.166666,22850.75,81961,68145769517,274946821.919294
"MRS",2025,778.166666,22723.916666,83972,71693838702,291297081.179338
"RMN",2006,156.083333,3510,1894,7446149877,79486926.8937372
"RMN",2007,181.166666,3907.166666,3093,9393522609,85862627.2191237
"RMN",2008,238.666666,4194.833333,3820,11296926639,105252916.215909
"RMN",2009,260.666666,4374,3979,13886811259,127144903.560063
"RMN",2010,369.583333,5418.333333,6510,14618305916,135319608.725898
"RMN",2011,408.5,7009.5,4603,16073366471,137853314.763766
